Geographic_Area_Name,NAICS_Description,Year,Total_Fringe_Benefits,Total_Materials_Cost,Cost_Materials_Used,Cost_Resales,Inventories_Beginning_Year,Finished_Goods_Beginning,Work_In_Process_Beginning,Materials_Supplies_Beginning,Inventories_End_Year,Finished_Goods_End,Work_In_Process_End,Materials_Supplies_End,Total_Capital_Expenditures,Capital_Buildings,Capital_Machinery,Capital_Automobiles,Capital_Computers,Capital_Other
Kansas,Manufacturing,2021,3030494,56280614,50266901,4550305,9900139,3886853,2176472,3836814,10901356,4091336,2539113,4270907,2309672,539275,1770397,83914,81546,1604937
Kentucky,Manufacturing,2018,4626994,92676702,87805395,1934205,12161130,4518172,3200115,4442843,12919028,4805443,3327587,4785998,4281847,846044,3435803,206815,159014,3069974
Kentucky,Manufacturing,2019,4590085,88663769,83817964,2026163,13015107,4900323,3293064,4821720,13878726,5217681,3555372,5105672,4136010,837969,3298042,111729,77598,3108714
Kentucky,Manufacturing,2020,4313245,78086494,73631733,1858481,13571623,5167618,3293699,5110306,13390224,5073648,3310220,5006355,4095314,826927,3268386,300383,82219,2885785
Kentucky,Manufacturing,2021,4536511,90117408,85047080,2050665,13186917,4976899,3303444,4906574,15754919,5892254,3757982,6104683,4613792,1149135,3464657,286593,92047,3086018
Louisiana,Manufacturing,2018,2663577,158554980,143354487,10153313,12855160,6003235,2858697,3993228,13289996,6341537,2719971,4228488,5905549,1226441,4679108,79233,90085,4509790
Louisiana,Manufacturing,2019,2686114,137442471,127560063,5051623,13582051,6694283,2498354,4389415,13973485,6596406,2764311,4612768,8549516,3396725,5152791,99540,138981,4914270
Louisiana,Manufacturing,2020,2613560,90042648,82565401,3529334,14001687,6702714,2738718,4560255,11708227,5413939,2238898,4055390,5377030,1190154,4186875,84349,78175,4024352
Louisiana,Manufacturing,2021,2611666,137689558,124971792,7271353,11789663,5420259,2230362,4139042,14407855,6781643,2923483,4702728,5457219,2108695,3348524,61216,94572,3192736
Maine,Manufacturing,2018,894186,7094927,5964616,362874,1963733,711039,575558,677136,2178998,735239,660323,783436,653766,143366,510400,18083,9278,483038
Maine,Manufacturing,2019,907907,7442030,6166088,353872,2192248,694583,669073,828593,2302572,752021,701983,848568,1095371,72773,1022598,17693,11607,993298
Maine,Manufacturing,2020,886201,7194241,5944042,406557,2280979,727857,706507,846615,2470201,793151,818100,858950,534906,100996,433910,25259,10943,397708
Maine,Manufacturing,2021,939123,7806484,6531626,432901,2415073,748895,820372,845807,2718655,826773,861438,1030444,545371,120101,425270,18942,12571,393757
Maryland,Manufacturing,2018,1884291,18912086,17082663,988304,5117733,2272829,976633,1868271,5180914,1981974,1108798,2090142,1548725,334255,1214469,40340,168151,1005977
